Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
23,-52.5532,-30.1616,-54.0362,-59.4408,-56.6287,-67.2851,-64.2279,-47.285,-43.8502,-46.8738,-54.9116,-41.1509,-35.0445,-46.1807,-54.1042,-51.5483,-70.0,-57.3174,-46.7455,-57.869,-66.438,-48.4877,-33.6218,-50.2953,-47.018,-33.2526,-47.5011,-55.5733,-48.0826,-35.7937,0
24,-52.388,-30.9489,-51.0969,-57.2282,-56.3538,-67.0186,-63.3296,-51.116,-48.6318,-50.0519,-59.99,-46.6946,-36.5043,-47.2441,-51.3951,-54.4772,-65.7773,-54.7085,-50.8129,-54.8363,-68.4795,-50.1972,-34.8941,-54.6873,-49.9363,-39.5931,-47.6195,-57.7784,-47.1538,-42.219,0
25,-54.6389,-30.1723,-54.0628,-60.0695,-59.3669,-65.6644,-61.9069,-51.2655,-47.3745,-53.3554,-56.4894,-47.5908,-36.7113,-51.0016,-56.781,-57.4731,-64.3155,-52.6385,-51.6203,-54.3913,-70.0,-47.4666,-39.313,-50.9783,-55.1221,-43.0265,-48.2293,-59.0212,-53.1583,-39.8594,0
26,-51.4057,-35.3019,-59.7227,-64.2494,-58.5535,-70.0,-61.6829,-48.7377,-49.4962,-52.5473,-52.4969,-47.6989,-38.6615,-47.135,-60.1769,-61.2771,-62.9282,-55.3939,-56.7316,-53.9023,-70.0,-51.3633,-38.0173,-48.1343,-52.7625,-43.4107,-46.0796,-54.9344,-57.306,-44.3247,0
27,-54.4123,-38.1161,-64.5116,-60.1927,-56.54,-69.3951,-65.7951,-49.5919,-49.5374,-57.9769,-49.0644,-46.187,-43.1946,-46.0155,-64.5332,-64.1912,-60.8687,-56.2675,-53.7632,-52.0578,-70.0,-55.7605,-40.2116,-49.9112,-49.3227,-41.2535,-44.5341,-50.8565,-53.1036,-43.2453,0
28,-50.4579,-35.833,-66.5556,-57.3899,-59.9586,-70.0,-62.0156,-46.1795,-49.4525,-59.4077,-46.8003,-49.2335,-49.526,-47.7143,-61.6312,-66.4527,-57.2484,-56.7274,-54.4916,-51.0574,-70.0,-58.8697,-37.9468,-55.2776,-47.2929,-45.3722,-48.2445,-56.3289,-57.614,-39.7201,0
29,-56.3033,-35.0089,-63.1344,-62.1993,-55.6347,-69.1363,-64.1227,-51.1173,-48.8264,-63.8536,-50.3854,-48.0403,-52.4498,-51.0742,-61.467,-64.4538,-55.4067,-54.07,-58.4784,-53.2574,-70.0,-61.9793,-42.391,-57.3339,-52.0391,-48.9796,-47.1071,-61.2091,-56.9754,-45.9715,0
30,-59.7519,-41.1743,-66.1577,-64.079,-61.2195,-70.0,-66.1532,-47.3296,-50.7984,-66.119,-55.4657,-46.6175,-52.5186,-52.6745,-64.6425,-64.229,-56.1239,-51.9354,-56.4671,-53.3272,-70.0,-64.5907,-41.2922,-54.7894,-49.6122,-48.7801,-44.5355,-56.7787,-53.6464,-46.8743,0
31,-55.59,-40.4156,-63.9624,-69.2344,-61.3234,-68.6211,-70.0,-46.4644,-46.9647,-68.2958,-57.161,-52.7027,-51.9128,-52.8685,-62.3023,-66.1758,-55.0007,-49.3292,-56.8326,-50.5325,-70.0,-64.1718,-42.4548,-54.289,-52.6064,-53.4093,-49.9496,-53.8173,-50.2024,-50.2732,0
32,-53.0698,-42.7934,-63.2456,-70.0,-61.6224,-64.5167,-70.0,-51.9308,-51.7844,-70.0,-61.3172,-56.1031,-54.4096,-55.1992,-59.355,-70.0,-54.0416,-53.1191,-61.4415,-48.7861,-65.8975,-62.1841,-47.3122,-54.7469,-53.2481,-56.2784,-54.007,-53.1104,-54.6371,-55.1633,0
33,-49.6791,-42.3217,-59.2051,-66.5046,-63.6123,-60.0587,-65.4034,-49.9019,-55.5759,-66.7148,-61.3324,-57.0701,-51.0959,-57.4021,-56.8894,-66.6538,-50.0616,-58.663,-64.372,-54.2166,-69.1469,-58.3567,-46.2822,-52.9345,-50.1392,-58.6061,-51.7302,-50.7294,-50.915,-52.6238,0
