Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
36,-43.6612,-62.9851,-64.9221,-66.7602,-55.7274,-67.4112,-63.4795,-54.0848,-60.8671,-56.6902,-43.135,-55.7073,-69.2488,-52.4325,-59.6122,-64.8161,-52.177,-67.7985,-60.7369,-69.8798,-45.5255,-60.7495,-55.043,-70.0,-64.7211,-66.0207,-70.0,-65.3912,-56.1167,-55.664,0
37,-41.1294,-67.2053,-67.0493,-68.3704,-61.1635,-63.7441,-67.7298,-52.4761,-66.1082,-61.0409,-40.0961,-52.472,-70.0,-55.4652,-62.9709,-61.7274,-52.2487,-63.852,-64.9216,-67.7309,-46.5865,-66.068,-56.5211,-70.0,-68.2981,-70.0,-66.0701,-61.0248,-54.1971,-57.969,0
38,-38.0316,-64.5,-70.0,-65.4083,-63.9786,-64.8481,-70.0,-57.8307,-64.3656,-61.1891,-45.6104,-52.2753,-70.0,-58.7601,-59.788,-58.1839,-51.7688,-59.5265,-60.24,-70.0,-42.93,-70.0,-52.2874,-70.0,-65.7524,-69.3397,-66.9364,-57.4523,-55.7134,-60.0515,0
39,-44.4321,-60.9641,-67.9422,-63.6707,-66.0517,-62.4623,-70.0,-55.6224,-65.5009,-66.1783,-47.9231,-56.2496,-70.0,-56.6315,-60.9971,-63.6142,-54.3222,-59.3219,-64.1292,-69.0501,-43.5502,-67.9432,-55.967,-70.0,-67.1943,-64.3969,-63.7925,-56.4576,-57.5713,-60.4613,0
40,-42.4439,-60.2554,-67.0976,-67.2446,-70.0,-67.0056,-70.0,-61.1428,-64.0842,-66.1366,-44.9699,-54.9184,-70.0,-59.8357,-56.9477,-65.3101,-58.0108,-64.7463,-60.3687,-65.897,-48.307,-67.5724,-59.8389,-70.0,-65.8742,-65.7216,-60.9654,-53.9985,-60.4768,-64.8648,0
41,-39.9286,-58.4318,-69.5964,-67.8922,-69.2247,-64.2774,-69.2501,-63.6933,-66.2191,-65.046,-41.4155,-54.0733,-66.274,-63.5949,-59.2158,-67.8353,-57.3623,-68.1761,-58.2078,-62.4535,-48.8227,-69.7264,-61.696,-70.0,-61.737,-62.4603,-59.7629,-54.7449,-58.5488,-62.0636,0
42,-41.3393,-55.177,-69.5428,-70.0,-70.0,-60.0714,-69.0458,-63.1161,-64.934,-62.3966,-46.7159,-59.0124,-63.5155,-60.2268,-61.5842,-64.6329,-56.0703,-70.0,-63.5584,-65.9098,-50.1508,-66.271,-62.5083,-65.2947,-63.902,-64.596,-57.4553,-54.4344,-55.7112,-64.0752,0
43,-39.2232,-57.3996,-69.1472,-69.1224,-66.923,-65.4706,-70.0,-61.4219,-65.7575,-64.4728,-51.1956,-55.4218,-62.3549,-57.8018,-58.6409,-62.5799,-52.1723,-70.0,-65.7607,-66.9553,-55.3476,-64.4799,-59.713,-60.7582,-59.2111,-69.1152,-62.9366,-55.6317,-53.4227,-59.5484,0
44,-42.7592,-60.3807,-67.3228,-70.0,-65.6647,-68.1192,-70.0,-59.9053,-67.1709,-59.8286,-54.6011,-56.4255,-62.6739,-56.2785,-58.6321,-61.7692,-51.2781,-70.0,-64.2193,-69.1091,-51.5183,-61.2012,-61.8676,-60.9854,-55.9976,-70.0,-63.6514,-58.7551,-53.4216,-61.8213,0
45,-47.0911,-62.1251,-68.0187,-69.9035,-61.7207,-69.6186,-70.0,-61.495,-68.2183,-63.8514,-58.7197,-53.5843,-60.7028,-53.1572,-61.626,-64.476,-55.8237,-70.0,-60.1167,-64.7135,-48.5277,-65.9046,-61.6671,-66.3758,-53.938,-70.0,-62.208,-57.1777,-54.8262,-64.5897,0
46,-52.2391,-66.4323,-69.5916,-70.0,-64.6355,-68.9102,-70.0,-58.2151,-70.0,-66.0323,-54.3551,-57.0631,-65.969,-57.325,-66.8303,-61.6281,-56.3498,-70.0,-61.3286,-65.8634,-54.4006,-61.7239,-59.5418,-68.0828,-53.1669,-67.5061,-63.8247,-57.06,-59.7404,-61.0515,0
47,-51.1623,-68.351,-64.7276,-66.8964,-67.6061,-69.7092,-66.4479,-54.7598,-70.0,-69.4585,-52.4666,-53.9732,-62.0531,-55.9087,-68.2653,-66.0976,-54.7551,-70.0,-63.2171,-68.6834,-57.9098,-61.7832,-61.2319,-70.0,-56.4476,-69.6757,-67.8028,-58.54,-64.3576,-65.0111,0
48,-48.9314,-68.3603,-69.8197,-67.6148,-69.1913,-68.4908,-66.8965,-59.2386,-67.8722,-67.3827,-52.7769,-59.2125,-59.8069,-54.8892,-70.0,-70.0,-59.0501,-65.8843,-59.5822,-70.0,-61.3485,-57.6687,-65.7961,-66.3819,-55.2824,-68.6281,-70.0,-61.3336,-60.8279,-63.4917,0
