Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Cluster
42,4201.0,4201.0,10.0,10.0,10.0,10.0,10.0,4201.0,4201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4201.0,10.0,4201.0,10.0,10.0,10.0,10.0,-1.9612795651712889,10.0,10.0,4201.0,4201.0,10.0,10.0,10.0,10.0,10.0,4201.0,10.0,10.0,4201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
43,4301.0,4301.0,10.0,10.0,10.0,10.0,10.0,4301.0,4301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4301.0,10.0,4301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4301.0,4301.0,10.0,10.0,10.0,10.0,10.0,4301.0,10.0,10.0,4301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
44,4401.0,4401.0,10.0,10.0,10.0,10.0,10.0,4401.0,4401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4401.0,10.0,4401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4401.0,4401.0,10.0,10.0,10.0,10.0,10.0,4401.0,10.0,10.0,4401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
45,4501.0,4501.0,10.0,10.0,10.0,10.0,10.0,4501.0,4501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4501.0,10.0,4501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4501.0,4501.0,10.0,10.0,10.0,10.0,10.0,4501.0,10.0,10.0,4501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
46,4601.0,4601.0,10.0,10.0,10.0,10.0,10.0,4601.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4601.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4601.0,4601.0,10.0,10.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
47,4701.0,4701.0,10.0,10.0,10.0,10.0,10.0,4701.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4701.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4701.0,4701.0,10.0,10.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
48,4801.0,4801.0,10.0,10.0,10.0,10.0,10.0,4801.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4801.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4801.0,4801.0,10.0,10.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
49,4901.0,4901.0,10.0,10.0,10.0,10.0,10.0,4901.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4901.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4901.0,4901.0,10.0,10.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
50,5001.0,5001.0,10.0,10.0,10.0,10.0,10.0,5001.0,5001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5001.0,10.0,5001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5001.0,5001.0,10.0,10.0,10.0,10.0,10.0,5001.0,10.0,10.0,5001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
51,5101.0,5101.0,10.0,10.0,10.0,10.0,10.0,5101.0,5101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5101.0,10.0,5101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5101.0,5101.0,10.0,10.0,10.0,10.0,10.0,5101.0,10.0,10.0,5101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
52,5201.0,5201.0,10.0,10.0,10.0,10.0,10.0,5201.0,5201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5201.0,10.0,5201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5201.0,5201.0,10.0,10.0,10.0,10.0,10.0,5201.0,10.0,10.0,5201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
53,5301.0,5301.0,10.0,10.0,10.0,10.0,10.0,5301.0,5301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5301.0,10.0,5301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5301.0,5301.0,10.0,10.0,10.0,10.0,10.0,5301.0,10.0,10.0,5301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
54,5401.0,5401.0,10.0,10.0,10.0,10.0,10.0,5401.0,5401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5401.0,10.0,5401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5401.0,5401.0,10.0,10.0,10.0,10.0,10.0,5401.0,10.0,10.0,5401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
55,5501.0,5501.0,10.0,10.0,10.0,10.0,10.0,5501.0,5501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5501.0,10.0,5501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5501.0,5501.0,10.0,10.0,10.0,10.0,10.0,5501.0,10.0,10.0,5501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
56,5601.0,5601.0,10.0,10.0,10.0,10.0,10.0,5601.0,5601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5601.0,10.0,5601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5601.0,5601.0,10.0,10.0,10.0,10.0,10.0,5601.0,10.0,10.0,5601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
57,5701.0,5701.0,10.0,10.0,10.0,10.0,10.0,5701.0,5701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5701.0,10.0,5701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5701.0,5701.0,10.0,10.0,10.0,10.0,10.0,5701.0,10.0,10.0,5701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
58,5801.0,5801.0,10.0,10.0,10.0,10.0,10.0,5801.0,5801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5801.0,10.0,5801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5801.0,5801.0,10.0,10.0,10.0,10.0,10.0,5801.0,10.0,10.0,5801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6
