Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49
34,-63.8151,-62.3631,-47.1380,-57.5113,-59.0441,-59.5533,-64.7049,-44.4241,-61.4175,-69.8666,-61.2505,-66.3117,-68.1006,-59.6825,-53.5785,-48.8414,-61.5395,-41.8435,-49.1000,-62.6745,-57.4553,-61.7613,-44.8348,-61.9959,-63.5539,-43.9826,-56.2599,-59.7702,-51.0703,-65.1806,-47.4885,-66.2438,-52.9107,-44.0483,-61.5573,-54.6650,-52.5818,-60.1366,-56.3104,-61.6588,-43.8564,-70.0000,-56.7227,-70.0000,-67.8693,-70.0000,-65.1703,-58.0237,-56.5985,-51.7797
35,-67.9392,-64.9338,-43.6931,-63.0897,-54.9459,-59.3004,-66.2094,-42.8143,-57.1246,-68.0297,-65.9124,-64.6363,-65.0522,-58.8096,-53.4351,-49.6311,-62.0904,-41.5483,-50.5101,-61.6323,-53.4964,-61.1857,-50.8765,-58.1627,-66.3068,-43.5648,-55.6951,-62.2000,-48.9059,-67.4369,-44.3873,-61.6614,-56.3293,-50.0084,-65.6332,-59.7950,-49.1912,-56.9934,-57.7765,-59.8304,-44.0631,-66.6723,-58.6527,-70.0000,-66.2998,-67.5556,-68.0288,-54.7573,-60.6396,-54.7677
36,-69.0963,-60.8533,-43.3618,-64.1949,-58.2762,-61.1186,-70.0000,-40.3751,-62.2216,-70.0000,-61.8821,-66.0575,-65.7027,-60.4330,-52.3042,-54.3586,-65.3059,-45.2517,-51.7398,-63.8134,-57.0587,-64.4434,-56.4912,-58.6583,-69.5676,-48.1456,-57.8541,-59.3741,-49.4675,-69.8674,-48.2377,-63.0729,-61.7910,-54.1787,-61.9647,-56.0488,-48.8763,-58.0294,-55.8537,-61.4021,-46.9400,-67.3131,-59.9137,-68.2199,-69.1680,-70.0000,-70.0000,-52.1899,-63.7963,-56.1560
37,-70.0000,-56.5912,-46.9899,-59.9739,-59.1024,-62.0402,-70.0000,-40.1731,-58.8682,-70.0000,-61.8801,-65.6749,-66.9738,-60.2054,-52.5968,-51.3105,-68.4495,-49.1182,-52.4429,-63.5769,-53.2683,-69.5619,-58.8310,-55.5086,-70.0000,-48.0543,-59.2584,-62.2388,-47.6518,-70.0000,-53.4750,-67.7653,-62.9632,-54.5509,-58.2396,-61.3188,-53.2250,-62.9343,-53.1699,-62.6517,-49.3689,-64.0495,-55.6421,-69.3568,-70.0000,-70.0000,-70.0000,-50.0904,-67.8333,-53.4021
38,-70.0000,-61.3703,-46.4350,-56.9846,-64.1319,-59.3821,-70.0000,-45.0795,-61.4290,-67.6938,-65.1601,-65.0283,-67.1098,-64.2007,-57.4198,-55.2703,-70.0000,-45.3599,-51.0919,-67.5239,-53.0466,-67.8052,-63.4678,-54.7422,-70.0000,-52.0968,-58.2481,-61.9609,-46.9861,-70.0000,-51.8296,-69.5969,-59.0400,-58.2613,-57.3581,-59.2364,-50.2173,-61.8575,-49.6996,-63.9829,-51.5925,-66.3143,-54.4110,-66.9294,-70.0000,-70.0000,-69.5774,-55.7054,-70.0000,-57.8384
39,-68.4317,-66.7799,-50.2212,-58.3261,-65.7834,-55.4811,-70.0000,-41.5125,-62.8011,-66.0393,-67.8008,-60.4014,-68.0616,-61.2068,-60.0725,-59.3823,-70.0000,-51.2042,-55.4066,-68.5186,-56.8044,-68.1075,-62.5809,-53.9322,-66.2768,-51.0317,-56.3248,-61.6720,-52.7841,-66.1165,-53.9119,-67.7688,-57.0682,-54.7377,-54.9278,-64.3458,-53.0663,-63.5907,-53.5209,-65.2079,-52.5888,-67.8634,-54.4328,-64.7682,-65.9708,-69.2521,-70.0000,-57.0012,-70.0000,-57.7802
40,-66.8034,-69.4724,-47.7176,-60.9506,-68.9133,-57.7057,-70.0000,-43.7725,-63.3545,-68.0908,-70.0000,-64.6058,-68.3851,-63.4836,-56.4885,-55.0440,-66.3611,-53.6576,-61.1100,-66.9097,-59.4369,-68.8284,-62.9130,-57.6923,-70.0000,-50.9299,-56.9843,-64.2922,-54.7297,-66.6992,-56.8131,-63.7354,-52.9038,-58.5840,-56.0723,-60.5797,-49.8416,-59.9062,-55.1488,-63.7698,-52.9907,-69.7000,-52.4997,-69.5857,-66.9343,-70.0000,-70.0000,-55.3584,-70.0000,-59.3244
41,-62.4400,-68.7099,-48.4034,-62.4243,-67.9355,-56.4063,-68.9984,-44.1797,-68.1626,-64.4350,-70.0000,-69.6331,-66.2997,-62.5279,-57.5145,-58.8986,-69.2845,-53.7753,-65.8066,-63.5366,-61.6718,-65.1506,-60.8390,-54.9736,-66.9707,-51.9396,-58.8998,-61.9763,-56.3930,-65.3689,-55.4684,-67.7206,-51.5435,-62.1103,-60.0563,-63.4201,-49.8440,-61.7375,-60.5724,-61.3804,-53.9652,-70.0000,-55.3599,-70.0000,-68.7139,-67.3643,-70.0000,-56.2239,-66.7233,-56.0427
42,-67.0377,-69.1530,-49.5893,-64.6848,-66.9691,-61.3961,-68.1415,-46.2326,-67.5282,-67.5751,-70.0000,-65.5619,-70.0000,-60.6219,-56.2048,-58.1172,-70.0000,-59.1868,-70.0000,-64.8288,-65.6150,-64.1903,-59.2079,-50.8523,-64.6212,-47.8455,-59.1992,-60.0077,-53.8164,-62.1570,-57.5021,-66.3227,-49.9078,-63.2151,-63.1962,-64.8063,-55.6516,-66.9504,-56.6752,-59.5214,-52.7215,-69.7765,-51.4719,-70.0000,-65.3168,-62.5834,-68.6529,-52.4519,-64.4405,-53.9238
43,-63.6028,-65.9906,-48.5549,-68.7644,-67.6271,-61.1396,-67.3058,-48.2419,-63.9437,-64.7540,-67.4575,-70.0000,-65.9338,-60.2823,-57.0048,-58.8632,-70.0000,-63.8004,-69.8817,-67.6939,-69.0162,-69.1338,-59.4781,-55.4508,-63.3419,-44.6425,-59.6675,-63.7752,-57.3023,-63.5919,-55.7039,-66.0182,-53.1941,-61.2025,-66.8144,-65.7491,-56.9652,-65.7637,-54.2510,-61.7783,-52.0046,-67.2352,-55.9101,-70.0000,-61.9426,-64.8292,-66.9113,-53.7911,-66.8962,-56.4582
